ticker;date;open;low;high;close
RGBITR;2019-03-04;490.14;490.11;490.73;490.11
RGBITR;2019-03-05;490.19;489.8;490.33;489.82
RGBITR;2019-03-06;489.94;489.5;490.18;489.5
RGBITR;2019-03-07;489.55;489.52;489.85;489.85
RGBITR;2019-03-11;490.31;489.98;490.49;490.48
RGBITR;2019-03-12;490.3;490.02;490.71;490.71
RGBITR;2019-03-13;490.82;490.73;491.15;491.01
RGBITR;2019-03-14;491.24;491.11;491.47;491.14
RGBITR;2019-03-15;491.37;491.11;491.58;491.34
RGBITR;2019-03-18;491.64;491.61;493.33;493.32
RGBITR;2019-03-19;493.48;493.48;494.6;494.44
RGBITR;2019-03-20;494.97;493.63;495.09;493.86
RGBITR;2019-03-21;494.08;494.08;496.49;496.33
RGBITR;2019-03-22;496.42;495.45;496.68;495.46
RGBITR;2019-03-25;495.76;494.8;496.21;496.21
RGBITR;2019-03-26;496.46;496.22;496.67;496.29
RGBITR;2019-03-27;496.47;495.35;496.67;495.41
RGBITR;2019-03-28;495.53;493.91;495.53;493.93
RGBITR;2019-03-29;494.08;493.96;494.91;493.96
RGBITR;2019-04-01;494.29;493.16;494.7;493.18
RGBITR;2019-04-02;493.62;493.08;493.62;493.14
RGBITR;2019-04-03;493.23;493.17;493.6;493.29
RGBITR;2019-04-04;493.77;493.14;493.88;493.15
RGBITR;2019-04-05;493.28;493.28;494.12;494.11
RGBITR;2019-04-08;494.29;494.29;495.22;494.9
RGBITR;2019-04-09;495;495;496.18;495.99
RGBITR;2019-04-10;496.16;495.76;496.48;496.48
RGBITR;2019-04-11;496.6;496.53;497.38;497.37
RGBITR;2019-04-12;497.53;497.42;497.8;497.67
RGBITR;2019-04-15;498.09;497.43;498.53;497.43
RGBITR;2019-04-16;497.42;497.13;497.7;497.18
RGBITR;2019-04-17;497.27;497.18;497.76;497.63
RGBITR;2019-04-18;497.73;497.06;497.9;497.09
RGBITR;2019-04-19;497.39;497.27;497.76;497.34
RGBITR;2019-04-22;497.58;497.51;498.03;497.7
RGBITR;2019-04-23;497.81;497.23;497.98;497.24
RGBITR;2019-04-24;497.33;496.84;498.04;497.34
RGBITR;2019-04-25;497.53;496.98;497.64;496.98
RGBITR;2019-04-26;497.29;497.03;497.51;497.51
RGBITR;2019-04-29;497.91;497.71;499.12;499.12
RGBITR;2019-04-30;499.27;499.27;500.28;500.28
RGBITR;2019-05-02;500.62;500.61;501.13;500.92
RGBITR;2019-05-03;501.08;500.81;501.42;500.83
RGBITR;2019-05-06;501.24;500.37;501.91;500.53
RGBITR;2019-05-07;500.61;500.51;500.87;500.8
RGBITR;2019-05-08;500.97;500.74;501.34;501.2
RGBITR;2019-05-10;501.35;501.09;501.46;501.25
RGBITR;2019-05-13;501.55;501.09;501.57;501.33
RGBITR;2019-05-14;501.45;501.33;501.56;501.52
RGBITR;2019-05-15;501.69;501.15;502.27;502.2
RGBITR;2019-05-16;502.32;502.32;503.48;503.48
RGBITR;2019-05-17;503.63;503.63;504.44;504.4
RGBITR;2019-05-20;504.6;504.58;505.72;505.72
RGBITR;2019-05-21;505.86;505.67;506.42;506.33
RGBITR;2019-05-22;506.55;506.55;508.64;508.64
RGBITR;2019-05-23;508.86;508.03;509.21;508.04
RGBITR;2019-05-24;508.14;507.97;508.47;508.21
